Last Updated: 2026-07-29 22:17:27 UTC

Ticker,Name,Change%,Perf1W,Vol1M,DollarVolume,RelVolume,AUM,AssetClass,Focus,Leverage,WeightScheme,PassedScreen
AAA,Alternative Access First Priority CLO Bond ETF,0.1601317704578415,0.3207695348554954,0.325130504720493,42433.92077636719,0.2522008089459909,44906492.0,Fixed income,Investment grade,Non-leveraged,Proprietary,No
AAAA,Amplius Aggressive Asset Allocation ETF,-0.1593405207681878,-1.109417938664575,0.5150720446717756,579209.2563247681,1.9977368583479065,292754432.0,Asset allocation,Target risk,Non-leveraged,Proprietary,No
AAAC,Columbia AAA CLO ETF,0.0498391657895144,0.0498391657895144,0.0433957421310195,2007.5000762939453,0.0003944445597791,,Fixed income,Investment grade,Non-leveraged,Proprietary,No
AAAU,Goldman Sachs Physical Gold ETF Shares,0.37774245615019325,-2.1600418062337994,1.2492068522170652,75688241.87896729,1.701927257533259,2399851264.0,Commodities,Gold,Non-leveraged,Single asset,No
AADR,AdvisorShares Dorsey Wright,-1.6454937510505994,-1.4069085211040442,0.988447555842176,41783.060470581055,0.1939110423661674,41715124.0,Equity,Total market,Non-leveraged,Proprietary,No
AAEQ,Alpha Architect US Equity 2 ETF,-1.5566492104100325,-2.446767629566391,0.1688735154945106,15964.829147338867,0.5973290881754665,497032864.0,Equity,Total market,Non-leveraged,Proprietary,No
AALG,Leverage Shares 2X Long AAL Daily ETF,5.464499182549849,-1.0379330865268048,6.881618616519981,301167.29975509644,0.9131410869981378,5339984.0,Equity,Industrials,Leveraged 2x,Single asset,No
AAOG,Leverage Shares 2X Long AAOI Daily ETF,-20.224717094486618,-37.53665510767745,23.7061564735168,4968740.726961136,1.7305793378198964,27913736.0,Equity,Information technology,Leveraged 2x,Single asset,No
AAOX,Tradr 2X Long AAOI Daily ETF,-26.442807709331266,-58.37292063323068,24.90440779708605,46997011.344488144,1.2861371332107214,479569280.0,Equity,Information technology,Leveraged 2x,Single asset,No
AAPB,GraniteShares 2x Long AAPL Daily ETF,1.64949693988029,10.138025404866744,4.178665761231108,2259667.220397949,0.8030428578365416,18340332.0,Equity,Information technology,Leveraged 2x,Single asset,Yes
